season,financial_year,football_turnover,total_turnover,broadcast_revenue,commercial_revenue,matchday_revenue,staff_costs,operating_expenses,player_amortisation,player_impairment,depreciation,operating_profit_loss,net_profit_loss,cash,gross_debt,net_debt,net_finance_costs,profit_on_player_disposals,player_registration_additions,player_registration_nbv,revenue_growth_pct,commercial_share_pct,broadcast_share_pct,matchday_share_pct,wage_to_revenue_pct,operating_margin_pct,net_margin_pct,net_debt_to_revenue_pct,net_finance_cost_to_revenue_pct,amortisation_to_revenue_pct,permanent_gross_transfer_spend,loan_fee_spend,total_transfer_consideration,permanent_transfer_income,loan_income,total_transfer_income,permanent_net_transfer_spend,total_net_transfer_consideration,primary_transfer_spend_to_revenue_pct,total_spend_to_revenue_pct,permanent_net_spend_to_revenue_pct,total_net_spend_to_revenue_pct,upper_bound_permanent_spend,upper_bound_total_consideration,spend_add_on_differential,spend_sensitivity_pct,transaction_count,incoming_count,outgoing_count,permanent_count,loan_count,exact_fee_count,estimated_fee_count,undisclosed_fee_count,zero_free_count,loan_fee_count,transaction_coverage_pct,numerical_fee_coverage_pct,exact_fee_coverage_pct,primary_fee_coverage_pct,estimated_value_share_pct,classification,notes,league_position,points,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,ppg,fa_cup_stage,fa_cup_matches,fa_cup_wins,fa_cup_draws,fa_cup_losses,fa_cup_goals_for,fa_cup_goals_against,fa_cup_trophy,league_cup_stage,league_cup_matches,league_cup_wins,league_cup_draws,league_cup_losses,league_cup_goals_for,league_cup_goals_against,league_cup_trophy,europe_competition,europe_stage,europe_matches,europe_wins,europe_draws,europe_losses,europe_goals_for,europe_goals_against,europe_trophy,xg,xga,xgd,xpts,ppda,possession_pct,shots,shots_on_target,covid_disruption_flag
2015/16,FY2016,350.60,353.55,140.90,109.78,99.92,195.40,70.25,59.20,0.00,13.00,16.50,1.65,226.50,233.00,6.50,12.40,2.00,54.40,114.80,6.47,31.31,40.19,28.50,55.73,4.71,0.47,1.85,3.54,16.89,15.00,0.00,15.00,1.78,0.00,1.78,13.22,13.22,4.28,4.28,3.77,3.77,17.40,17.40,2.40,16.00,7,2,5,5,2,1,2,2,2,2,100.0,100.0,14.3,42.9,89.4,CORE,"Permanent gross spend £15.00m, Loan spend £0.00m, Total consideration £15.00m; Add-on ceiling £17.40m (+16.0%); Primary spend/turnover 4.28%",2,71,38,20,11,7,65,36,29,1.87,Quarter-Final,6,3,2,1,11,4,0,Round 4,2,1,0,1,2,4,0,Champions League,Round of 16,8,3,0,5,13,15,0,73.53,33.86,39.67,77.01,8.35,58.2,571,211,0
2016/17,FY2017,422.80,424.00,179.90,141.00,101.90,199.40,80.40,77.10,0.00,12.70,43.40,35.30,231.30,226.90,-4.40,13.30,6.80,110.50,148.20,20.59,33.35,42.55,24.10,47.16,10.26,8.35,-1.04,3.15,18.24,92.50,0.00,92.50,6.78,2.00,8.78,85.72,83.72,21.88,21.88,20.27,19.80,98.00,98.00,5.50,5.95,11,5,6,10,1,1,6,7,3,1,100.0,100.0,9.1,36.4,81.1,CORE,"Permanent gross spend £92.50m, Loan spend £0.00m, Total consideration £92.50m; Add-on ceiling £98.00m (+5.95%); Primary spend/turnover 21.88%",5,75,38,23,6,9,77,44,33,1.97,Winner,6,6,0,0,18,3,1,Quarter-Final,3,2,0,1,6,2,0,Champions League,Round of 16,8,4,2,2,20,16,0,63.58,47.07,16.51,62.12,8.26,58.7,566,201,0
2017/18,FY2018,388.20,388.60,180.40,108.40,99.40,223.30,72.20,77.10,0.00,12.80,42.20,56.50,231.10,218.20,-12.90,13.60,120.00,165.70,238.20,-8.18,27.92,46.47,25.61,57.52,10.87,14.55,-3.32,3.50,19.86,104.30,0.00,104.30,112.80,0.00,112.80,-8.50,-8.50,26.87,26.87,-2.19,-2.19,110.40,110.40,6.10,5.85,14,5,9,14,0,3,7,7,4,0,100.0,100.0,21.4,50.0,47.8,CORE,"Permanent gross spend £104.30m, Loan spend £0.00m, Total consideration £104.30m; Add-on ceiling £110.40m (+5.85%); Primary spend/turnover 26.87%",6,63,38,19,6,13,74,51,23,1.66,Round 3,1,0,0,1,2,4,0,Final,6,4,1,1,6,5,0,Europa League,Semi-Final,14,8,3,3,31,13,0,72.27,48.75,23.52,65.9,9.13,61.8,594,234,0
2018/19,FY2019,394.70,394.70,183.80,115.00,95.90,231.70,84.20,92.20,0.00,13.60,-32.20,-27.10,167.30,206.10,38.80,11.80,12.20,99.00,240.30,1.67,29.14,46.57,24.30,58.70,-8.16,-6.87,9.83,2.99,23.36,66.90,2.20,69.10,4.90,0.89,5.79,62.00,63.31,17.04,17.60,15.79,16.12,70.90,73.10,4.00,5.79,12,6,6,10,2,0,6,8,4,2,100.0,100.0,0.0,33.3,95.9,CORE,"Permanent gross spend £66.90m, Loan spend £2.20m, Total consideration £69.10m; Add-on ceiling £73.10m (+5.79%); Primary spend/turnover 17.04%",5,70,38,21,7,10,73,51,22,1.84,Round 4,2,1,0,1,4,3,0,Quarter-Final,3,2,0,1,5,4,0,Europa League,Final,15,11,2,2,30,12,0,64.8,57.3,7.5,58.97,9.47,58.4,467,170,0
2019/20,FY2020,343.50,343.50,118.90,155.20,69.40,234.50,71.30,104.60,14.90,14.40,-75.30,-47.80,110.00,218.40,108.40,13.60,60.10,182.20,290.40,-12.97,45.18,34.61,20.20,68.27,-21.92,-13.92,31.56,3.96,30.45,138.00,8.75,146.75,47.92,2.70,50.62,90.08,96.13,40.55,43.12,26.47,28.25,138.00,146.75,0.00,0.00,19,8,11,15,4,0,11,15,4,4,100.0,100.0,0.0,21.1,94.2,CORE,"Permanent gross spend £138.00m, Loan spend £8.75m, Total consideration £146.75m; Add-on ceiling £146.75m (+0.0%); Primary spend/turnover 40.55%",8,56,38,14,14,10,56,48,8,1.47,Winner,6,6,0,0,11,3,1,Round 4,2,1,1,0,10,5,0,Europa League,Round of 32,8,4,2,2,16,9,0,50.82,57.25,-6.43,50.15,11.02,53.9,406,151,1
2020/21,FY2021,327.60,327.60,184.40,139.40,3.80,244.40,48.50,117.40,15.20,15.60,-130.40,-107.30,18.80,218.40,199.60,39.80,11.80,73.40,231.80,-4.63,42.55,56.29,1.16,74.60,-39.80,-32.75,60.93,12.15,35.84,76.60,4.80,81.40,17.00,3.60,20.60,59.60,60.80,23.38,24.85,18.19,18.56,80.20,85.00,3.60,4.42,15,9,6,11,4,1,4,7,6,4,100.0,100.0,6.7,46.7,47.6,CORE,"Permanent gross spend £76.60m, Loan spend £4.80m, Total consideration £81.40m; Add-on ceiling £85.00m (+4.42%); Primary spend/turnover 23.38%",8,61,38,18,7,13,55,39,16,1.61,Round 4,2,1,0,1,2,1,0,Quarter-Final,3,1,1,1,3,4,0,Europa League,Semi-Final,14,9,3,2,33,13,0,52.25,43.23,9.02,58.72,13.64,53.7,459,152,1
2021/22,FY2022,369.10,371.90,146.00,141.70,79.40,212.30,67.40,127.00,10.50,15.20,-60.70,-45.50,30.00,259.80,229.80,5.20,24.20,143.50,235.10,12.67,38.39,39.56,21.51,57.52,-16.45,-12.33,62.26,1.41,34.41,143.50,0.00,143.50,25.00,1.30,26.30,118.50,117.20,38.88,38.88,32.11,31.75,161.30,161.30,17.80,12.40,13,7,6,12,1,0,8,9,4,1,100.0,100.0,0.0,30.8,99.2,CORE,"Permanent gross spend £143.50m, Loan spend £0.00m, Total consideration £143.50m; Add-on ceiling £161.30m (+12.4%); Primary spend/turnover 38.88%",5,69,38,22,3,13,61,48,13,1.82,Round 3,1,0,0,1,0,1,0,Semi-Final,6,4,1,1,16,3,0,None,No European Competition,0,0,0,0,0,0,0,63.39,48.39,15.0,64.76,12.55,53.0,589,198,0
2022/23,FY2023,464.60,467.00,191.20,169.30,102.60,234.80,72.50,157.00,0.00,15.40,-55.00,-52.10,42.80,260.00,217.20,6.10,10.70,167.30,245.40,25.87,36.44,41.15,22.08,50.54,-11.84,-11.21,46.75,1.31,33.79,162.00,0.00,162.00,20.30,0.00,20.30,141.70,141.70,34.87,34.87,30.50,30.50,183.10,183.10,21.10,13.02,14,8,6,14,0,2,10,10,2,0,100.0,100.0,14.3,28.6,80.7,CORE,"Permanent gross spend £162.00m, Loan spend £0.00m, Total consideration £162.00m; Add-on ceiling £183.10m (+13.02%); Primary spend/turnover 34.87%",2,84,38,26,6,6,88,43,45,2.21,Round 4,2,1,0,1,3,1,0,Round 3,1,0,0,1,1,3,0,Europa League,Round of 16,8,5,2,1,11,6,0,76.51,45.16,31.35,72.53,9.55,59.7,593,204,0
2023/24,FY2024,616.00,616.00,261.80,217.60,131.60,327.90,88.50,176.20,0.00,16.00,-49.00,-28.20,35.20,315.00,279.80,16.00,36.80,222.00,289.40,32.59,35.32,42.50,21.36,53.23,-7.95,-4.58,45.42,2.60,28.60,199.30,3.00,202.30,64.40,1.00,65.40,134.90,136.90,36.11,36.65,24.44,24.80,208.60,211.60,9.30,4.60,12,4,8,10,2,1,8,10,1,2,100.0,100.0,8.3,16.7,85.7,CORE,"Permanent gross spend £199.30m, Loan spend £3.00m, Total consideration £202.30m; Add-on ceiling £211.60m (+4.6%); Primary spend/turnover 36.11%",2,89,38,28,5,5,91,29,62,2.34,Round 3,1,0,0,1,0,2,0,Round 4,2,1,0,1,2,3,0,Champions League,Quarter-Final,10,5,2,3,19,8,0,84.39,31.78,52.61,81.94,9.6,58.4,657,228,0
2024/25,FY2025,691.00,691.00,278.20,268.00,153.80,347.00,95.00,187.00,0.00,16.50,-65.00,-1.00,48.00,331.00,283.00,14.00,78.00,135.00,237.40,12.18,38.78,40.26,22.26,50.22,-9.41,-0.14,40.96,2.03,27.06,88.85,0.00,88.85,70.00,0.00,70.00,18.85,18.85,14.93,14.93,3.17,3.17,97.25,97.25,8.40,9.45,11,6,5,9,2,0,7,7,2,2,100.0,100.0,0.0,18.2,100.0,CORE,"Permanent gross spend £88.85m, Loan spend £0.00m, Total consideration £88.85m; Add-on ceiling £97.25m (+9.45%); Primary spend/turnover 14.93%",2,74,38,20,14,4,69,34,35,1.95,Round 4,2,1,0,1,4,2,0,Semi-Final,5,3,0,2,11,7,0,Champions League,Quarter-Final,10,6,1,3,17,7,0,73.57,39.98,33.59,72.96,8.8,57.0,546,188,0
