observation_id,season,financial_year,variable,final_value,raw_value,unit,source_entity,document_title,document_date,page,table_or_note,source_url,transformation,definition,comparability_status,verification_status,notes
FIN-FY2016-FOOTBA-0001,2015/16,FY2016,football_turnover,350.60,350.60,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2016,2017-01-17,"p. 28, Note 1",Note 1 (Turnover),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Turnover generated strictly from football activities excluding property development,Qualified (COVID Timing),Primary Audited,Total turnover includes £2.95m legacy Highbury Square property turnover; football turnover is £350.60m.
FIN-FY2016-TOTAL_-0002,2015/16,FY2016,total_turnover,353.55,353.55,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2016,2017-01-17,"p. 28, Note 1",Consolidated Profit and Loss Account,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Consolidated Group revenue including football operations and legacy property development,Qualified (COVID Timing),Primary Audited,Total turnover includes £2.95m legacy Highbury Square property turnover; football turnover is £350.60m.
FIN-FY2016-BROADC-0003,2015/16,FY2016,broadcast_revenue,140.90,140.90,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2016,2017-01-17,"p. 28, Note 1",Note 1 (Turnover),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Distributions from Premier League domestic/overseas TV contracts and UEFA competition rights,Qualified (COVID Timing),Primary Audited,Normal operations; no COVID disruption.
FIN-FY2016-COMMER-0004,2015/16,FY2016,commercial_revenue,109.78,109.78,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2016,2017-01-17,"p. 28, Note 1",Note 1 (Turnover),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),"Revenue from sponsorships, partnerships, merchandising, retail, licensing and stadium tours",Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2016-MATCHD-0005,2015/16,FY2016,matchday_revenue,99.92,99.92,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2016,2017-01-17,"p. 28, Note 1",Note 1 (Turnover),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),"Ticket sales, gate receipts, club level hospitality and matchday cup receipts",Qualified (COVID Timing),Primary Audited,Normal operations; no COVID disruption.
FIN-FY2016-STAFF_-0006,2015/16,FY2016,staff_costs,195.40,195.40,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2016,2017-01-17,"p. 29, Note 3",Note 3 (Employees and Directors),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),"Total group employment expenditure across all playing, coaching, administrative, executive, and operational staff under IAS 19. Does not isolate first-team player wages.",Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2016-OPERAT-0007,2015/16,FY2016,operating_expenses,70.25,70.25,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2016,2017-01-17,"p. 28, Note 2",Note 2 (Operating Expenses),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),"Other operating charges excluding staff costs, player amortisation, and tangible depreciation",Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2016-PLAYER-0008,2015/16,FY2016,player_amortisation,59.20,59.20,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2016,2017-01-17,"p. 34, Note 10",Note 10 (Intangible Assets),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Annual non-cash straight-line amortisation of capitalized registration costs under IAS 38,Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2016-PLAYER-0009,2015/16,FY2016,player_impairment,0.00,0.00,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2016,2017-01-17,"p. 34, Note 10",Note 10 (Intangible Assets),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Non-cash impairment write-downs or contract termination charges on player registrations under IAS 36/38,Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2016-DEPREC-0010,2015/16,FY2016,depreciation,13.00,13.00,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2016,2017-01-17,"p. 33, Note 9",Note 9 (Tangible Fixed Assets),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Annual depreciation of tangible fixed assets including Emirates Stadium and facilities under IAS 16,Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
