master_observation_id,season,master_variable,source_module,source_file,source_variable,source_observation_id,transformation,verification_status
MST-2015-0001,2015/16,financial_year,FINANCIAL,arsenal_financials.csv,financial_year,FIN-FY2016-FOOTBA-0001,Direct Calendar Alignment (31 May),Audited Statutory Accounts (Companies House)
MST-2015-0002,2015/16,football_turnover,FINANCIAL,arsenal_financials.csv,football_turnover,FIN-FY2016-FOOTBA-0001,None (Directly Reported in £m),Primary Audited
MST-2015-0003,2015/16,total_turnover,FINANCIAL,arsenal_financials.csv,total_turnover,FIN-FY2016-TOTAL_-0002,None (Directly Reported in £m),Primary Audited
MST-2015-0004,2015/16,broadcast_revenue,FINANCIAL,arsenal_financials.csv,broadcast_revenue,FIN-FY2016-BROADC-0003,None (Directly Reported in £m),Primary Audited
MST-2015-0005,2015/16,commercial_revenue,FINANCIAL,arsenal_financials.csv,commercial_revenue,FIN-FY2016-COMMER-0004,None (Directly Reported in £m),Primary Audited
MST-2015-0006,2015/16,matchday_revenue,FINANCIAL,arsenal_financials.csv,matchday_revenue,FIN-FY2016-MATCHD-0005,None (Directly Reported in £m),Primary Audited
MST-2015-0007,2015/16,staff_costs,FINANCIAL,arsenal_financials.csv,staff_costs,FIN-FY2016-STAFF_-0006,None (Directly Reported in £m),Primary Audited
MST-2015-0008,2015/16,operating_expenses,FINANCIAL,arsenal_financials.csv,operating_expenses,FIN-FY2016-OPERAT-0007,None (Directly Reported in £m),Primary Audited
MST-2015-0009,2015/16,player_amortisation,FINANCIAL,arsenal_financials.csv,player_amortisation,FIN-FY2016-PLAYER-0008,None (Directly Reported in £m),Primary Audited
MST-2015-0010,2015/16,player_impairment,FINANCIAL,arsenal_financials.csv,player_impairment,FIN-FY2016-PLAYER-0009,None (Directly Reported in £m),Primary Audited
MST-2015-0011,2015/16,depreciation,FINANCIAL,arsenal_financials.csv,depreciation,FIN-FY2016-DEPREC-0010,None (Directly Reported in £m),Primary Audited
MST-2015-0012,2015/16,operating_profit_loss,FINANCIAL,arsenal_financials.csv,operating_profit_loss,FIN-FY2016-OPERAT-0011,None (Directly Reported in £m),Primary Audited
MST-2015-0013,2015/16,net_profit_loss,FINANCIAL,arsenal_financials.csv,net_profit_loss,FIN-FY2016-NET_PR-0012,None (Directly Reported in £m),Primary Audited
MST-2015-0014,2015/16,cash,FINANCIAL,arsenal_financials.csv,cash,FIN-FY2016-CASH-0013,None (Directly Reported in £m),Primary Audited
MST-2015-0015,2015/16,gross_debt,FINANCIAL,arsenal_financials.csv,gross_debt,FIN-FY2016-GROSS_-0014,None (Directly Reported in £m),Primary Audited
MST-2015-0016,2015/16,net_debt,FINANCIAL,arsenal_financials.csv,net_debt,FIN-FY2016-NET_DE-0015,gross_debt - cash,Primary Audited
MST-2015-0017,2015/16,net_finance_costs,FINANCIAL,arsenal_financials.csv,net_finance_costs,FIN-FY2016-NET_FI-0016,None (Directly Reported in £m),Primary Audited
MST-2015-0018,2015/16,profit_on_player_disposals,FINANCIAL,arsenal_financials.csv,profit_on_player_disposals,FIN-FY2016-PROFIT-0017,None (Directly Reported in £m),Primary Audited
MST-2015-0019,2015/16,player_registration_additions,FINANCIAL,arsenal_financials.csv,player_registration_additions,FIN-FY2016-PLAYER-0018,None (Directly Reported in £m),Primary Audited
MST-2015-0020,2015/16,player_registration_nbv,FINANCIAL,arsenal_financials.csv,player_registration_nbv,FIN-FY2016-PLAYER-0019,None (Directly Reported in £m),Primary Audited
MST-2015-0021,2015/16,revenue_growth_pct,FINANCIAL,arsenal_financials.csv,revenue_growth_pct,DER-FY2016-REVENU-0191,((football_turnover_t - football_turnover_{t-1}) / football_turnover_{t-1}) * 100,Derived Analytical
MST-2015-0022,2015/16,commercial_share_pct,FINANCIAL,arsenal_financials.csv,commercial_share_pct,DER-FY2016-COMMER-0192,(commercial_revenue / football_turnover) * 100,Derived Analytical
MST-2015-0023,2015/16,broadcast_share_pct,FINANCIAL,arsenal_financials.csv,broadcast_share_pct,DER-FY2016-BROADC-0193,(broadcast_revenue / football_turnover) * 100,Derived Analytical
MST-2015-0024,2015/16,matchday_share_pct,FINANCIAL,arsenal_financials.csv,matchday_share_pct,DER-FY2016-MATCHD-0194,(matchday_revenue / football_turnover) * 100,Derived Analytical
MST-2015-0025,2015/16,wage_to_revenue_pct,FINANCIAL,arsenal_financials.csv,wage_to_revenue_pct,DER-FY2016-WAGE_T-0195,(staff_costs / football_turnover) * 100,Derived Analytical
MST-2015-0026,2015/16,operating_margin_pct,FINANCIAL,arsenal_financials.csv,operating_margin_pct,DER-FY2016-OPERAT-0196,(operating_profit_loss / football_turnover) * 100,Derived Analytical
MST-2015-0027,2015/16,net_margin_pct,FINANCIAL,arsenal_financials.csv,net_margin_pct,DER-FY2016-NET_MA-0197,(net_profit_loss / football_turnover) * 100,Derived Analytical
MST-2015-0028,2015/16,net_debt_to_revenue_pct,FINANCIAL,arsenal_financials.csv,net_debt_to_revenue_pct,DER-FY2016-NET_DE-0198,(net_debt / football_turnover) * 100,Derived Analytical
MST-2015-0029,2015/16,net_finance_cost_to_revenue_pct,FINANCIAL,arsenal_financials.csv,net_finance_cost_to_revenue_pct,DER-FY2016-NET_FI-0199,(net_finance_costs / football_turnover) * 100,Derived Analytical
MST-2015-0030,2015/16,amortisation_to_revenue_pct,FINANCIAL,arsenal_financials.csv,amortisation_to_revenue_pct,DER-FY2016-AMORTI-0200,(player_amortisation / football_turnover) * 100,Derived Analytical
MST-2015-0031,2015/16,permanent_gross_transfer_spend,TRANSFER,arsenal_transfers.csv,permanent_gross_transfer_spend,TRX-201516-IN-001; TRX-201516-IN-002,sum(fee_gbp) for permanent incoming transfers,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0032,2015/16,loan_fee_spend,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,loan_fee_spend,TRX-DER-2015-LOAN_SPEND,sum(fee_gbp) for loan incoming transfers,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0033,2015/16,total_transfer_consideration,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,total_transfer_consideration,TRX-DER-2015-TOTAL_CONSID,permanent_gross_transfer_spend + loan_fee_spend,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0034,2015/16,permanent_transfer_income,TRANSFER,arsenal_transfers.csv,permanent_transfer_income,TRX-201516-OUT-001; TRX-201516-OUT-002; TRX-201516-OUT-003,sum(fee_gbp) for permanent outgoing transfers,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0035,2015/16,loan_income,TRANSFER,arsenal_transfers.csv,loan_income,TRX-201516-OUT-004; TRX-201516-OUT-005,sum(fee_gbp) for loan outgoing transfers,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0036,2015/16,total_transfer_income,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,total_transfer_income,TRX-DER-2015-TOTAL_INCOME,permanent_transfer_income + loan_income,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0037,2015/16,permanent_net_transfer_spend,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,permanent_net_transfer_spend,TRX-DER-2015-PERM_NET,permanent_gross_transfer_spend - permanent_transfer_income,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0038,2015/16,total_net_transfer_consideration,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,total_net_transfer_consideration,TRX-DER-2015-TOTAL_NET,total_transfer_consideration - total_transfer_income,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0039,2015/16,primary_transfer_spend_to_revenue_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,primary_transfer_spend_to_revenue_pct,TRX-DER-2015-PRIM_SPEND_REV,(permanent_gross_transfer_spend / football_turnover) * 100,Reconciled Transaction Ledger & Primary Disclosures
